license_number,product_name,original_review_reason,final_decision,application_site,decision_evidence,source_id,confidence,reviewed_at
衛署藥製字第055246號,立久因噴霧劑 10%,spray_site_not_confirmed,unresolved,unclear,TFDA 劑型僅為「噴霧劑」、品名未標示鼻/口腔/咽喉部位，適應症僅為「局部麻醉」；既有詳細成分僅列 lidocaine。既有官方仿單 URL 已單次嘗試但不可取得，不能可靠推定局部口咽用途。,tfda_open_data_info37_43_cached_20260711,low,2026-07-14T00:00:00+08:00
衛署藥製字第019585號,"""長安""汎鼻寧噴劑",spray_site_not_confirmed,include_nasal,nasal,TFDA 劑型「鼻用氣化噴霧劑」且中文品名含「鼻」；適應症為鼻炎/副鼻腔炎/過敏性鼻炎與鼻出血。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛署藥輸字第022329號,苦息樂卡因唧筒式噴霧劑１０％,spray_site_not_confirmed,unresolved,unclear,TFDA 劑型僅為「噴霧劑」、品名未標示鼻/口腔/咽喉部位，適應症僅為「局部麻醉」；既有詳細成分僅列 lidocaine。既有官方仿單 URL 已單次嘗試但不可取得，不能可靠推定局部口咽用途。,tfda_open_data_info37_43_cached_20260711,low,2026-07-14T00:00:00+08:00
衛部藥輸字第026657號,"""吸必擴""氣化噴霧劑 160/4.5 微克/劑量",spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛部藥輸字第027524號,必肺宜氣化噴霧劑7.2/5.0微克/劑量,spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛部藥輸字第027672號,喘寶定量吸入劑100/6/12.5 mcg/dose,spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛部藥輸字第027945號,肺舒坦定量吸入劑200/6 mcg/dose,spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛部藥輸字第028490號,喘寶定量吸入劑200/6/12.5微克/劑量,spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛署藥製字第046747號,立麻卡因噴霧劑10%,spray_site_not_confirmed,unresolved,unclear,TFDA 劑型僅為「噴霧劑」、品名未標示鼻/口腔/咽喉部位，適應症僅為「局部麻醉」；既有詳細成分僅列 lidocaine。既有官方仿單 URL 已單次嘗試但不可取得，不能可靠推定局部口咽用途。,tfda_open_data_info37_43_cached_20260711,low,2026-07-14T00:00:00+08:00
衛部藥輸字第028183號,必肺暢氣化噴霧劑160/7.2/5.0微克,spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛署藥輸字第023074號,備勞喘１００微公克定量噴霧液,spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛部藥輸字第027051號,落建女性專用生髮慕絲,spray_site_not_confirmed,exclude_skin_or_other,,TFDA 劑型為氣化噴霧/外用氣化噴霧，品名或適應症為頭皮生髮或肌肉骨骼疼痛之外用產品。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛部藥輸字第028249號,撒隆巴斯 酸痛 噴劑,spray_site_not_confirmed,exclude_skin_or_other,,TFDA 劑型為氣化噴霧/外用氣化噴霧，品名或適應症為頭皮生髮或肌肉骨骼疼痛之外用產品。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛署藥製字第049211號,利平喘呼吸溶液劑,spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛署藥輸字第023473號,"備喘全定量噴霧液 ""德國廠""",spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛部藥輸字第026760號,"""吸必擴""氣化噴霧劑80/4.5微克/劑量",spray_site_not_confirmed,exclude_pulmonary_inhalation,,TFDA 劑型/英文名稱含氣化、定量或 pressurised inhalation，且適應症為氣喘或 COPD 的肺部維持/支氣管治療。,tfda_open_data_info37_43_cached_20260711,high,2026-07-14T00:00:00+08:00
衛署藥製字第055411號,益麻噴霧劑 10%,spray_site_not_confirmed,unresolved,unclear,TFDA 劑型僅為「噴霧劑」、品名未標示鼻/口腔/咽喉部位，適應症僅為「局部麻醉」；既有詳細成分僅列 lidocaine。既有官方仿單 URL 已單次嘗試但不可取得，不能可靠推定局部口咽用途。,tfda_open_data_info37_43_cached_20260711,low,2026-07-14T00:00:00+08:00
衛署藥製字第055413號,“福元”力麻噴霧劑 10%,spray_site_not_confirmed,unresolved,unclear,TFDA 劑型僅為「噴霧劑」、品名未標示鼻/口腔/咽喉部位，適應症僅為「局部麻醉」；既有詳細成分僅列 lidocaine。既有官方仿單 URL 已單次嘗試但不可取得，不能可靠推定局部口咽用途。,tfda_open_data_info37_43_cached_20260711,low,2026-07-14T00:00:00+08:00
