license_no,chinese_name,english_name,dosage_form_raw,candidate_keyword,exclusion_reason,source_url,review_status,notes
衛署藥製字第015012號,風引糖漿,FONING SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第029916號,佳生鎮傷風顆粒,GLISTIN GRANULES,內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
內衛藥製字第013765號,咳能滅糖衣錠２５公絲（咳貝坦）,CARBEDANE S.C. TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署成製字第001773號,炎痛平軟膏,"ENTAPEN OINTMENT ""S.P.""",軟膏劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第022311號,克冒平糖衣錠,"COLDPIN SUGAR COATED TABLETS ""SHITEH""",糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第022327號,"""利達""麥克掃液","MAKASA SOLUTION ""LITA""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第038952號,"""美西""驅嗽安糖漿","KU SOU AN SYRUP ""M.S""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第039336號,"""中美""咳達樂糖漿","COTAL SYRUP ""C.M.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第004255號,擦而康水溶性軟膏,CALMURID HC CREAM,乳膏劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第015213號,幫咳利糖漿,PENDRINE SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第023024號,益汝膚注射液,"ILUFU INJECTION ""WINSTON""",注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031049號,咳佳捷糖漿,"COUGEL SYRUP ""H.S.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031076號,鎮傷風顆粒,GLISTIN GRANULES,內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031124號,全多祿大可感冒液,ZENTORU COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031251號,宜康佳糖漿,YI KANG JIA SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第023240號,嘉佑感冒膠囊,SANZAMIN A CAPSULE,膠囊劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第005484號,咳畢坦糖衣錠,CARBETANE S.C. TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第023498號,咳貝坦膠囊,"CARBETAN CAPSULES (CARBETAPENTANE) ""J.A.""",膠囊劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第023778號,醫嗽兒感冒顆粒（小兒用）,ECOUGHER GRANULES (FOR CHILDREN),內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第023798號,利感冒液,LI COMMON COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥製字第059385號,久生感冒液,"Kanmao Solution ""K.S.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第032521號,咳寧液,QUANIN SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第041469號,傷得風友液,Suntephenyu Solution,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第041792號,泰克感冒膠囊〝黃氏〞,"TAKE COMMON CAPSULES ""H.S.""",膠囊劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第011673號,斯巴百吉麗眼藥水,SUPER PATCHIRI EYE LOTION,點眼液劑,PATCH,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第011694號,斯巴百睛麗眼藥水,SUPER PATCHIRI D EYE LOTION,眼用洗劑,PATCH,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第009282號,痛熱速達液,"COLDGEN SOLUTION ""C.M.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第024391號,感冒能顆粒,COLDENIN GRANULES,內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第024690號,治感冒液,CHIN COMMON COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第033026號,賜通感冒液,Tsz Tung Cold Solution,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第018263號,"""中美""咳立定液","Ke Li Ding Solution ""C.M.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第025173號,感嗽顆粒,"KANSOU GRANULES ""S.H.""",內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第043333號,舒舒口含錠,S.S TABLETS,口含錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第011094號,掃熱咳糖漿”政行”　　　　　　　　　　　　　　　　　　　　　 S,"W GO COLD SYRUP ""C.S.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第019163號,咳嗽風必克糖漿,"HOBIT COUGH SYRUP ""CHIPHAR""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第034102號,傷得風友感冒液,"SUNTEPHENYU LIQUID ""C.A.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第011880號,感冒感克寧液,"KANCORLINE SOLUTION ""T.W.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第019542號,卡喀安膠囊（咳貝坦）,"CARBETAPENTANE CAPSULES ""TUNG FUA""",膠囊劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第027152號,咳友糖漿,CO-IO SYRUPS,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第035089號,宜康佳感冒液,YI KANG JIA COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第035360號,福安感冒液,"FUAN COLD LIQUID ""MEIDER""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第012873號,感冒城液,GAAN MAW CHERNG SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第013134號,"""救人""救嗽感冒液","COLD SOLUTION ""C.J.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第013215號,感冒液,"KANMAO SOLUTION ""K.S.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第013234號,理風寧感冒糖漿,"LII HON NING COMMON COLD SYRUP ""Y.S.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第028469號,"""長安""捷康感冒液","JAICON COLD SOLUTION ""C.A.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第028509號,"""長安""癒咳舒糖漿",EUCOSU SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第036463號,傷風克感冒液,GRIPPETIN COLD SOLUTION,內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥製字第061040號,清栓定膜衣錠90毫克,Ticagrel Film-Coated Tablets 90mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第009441號,特咳拉斯糖衣錠,"TOCLAS S.C. TABLETS ""YU SHENG""",糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第018619號,咳淨錠（咳貝坦）,"CARBETANE TABLETS (CARBETAPENTANE) ""WILSON""",錠劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第018757號,滅傷風膠囊,MISSION CAPSULES,膠囊劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第018933號,癒爾咳糖漿,"ANTITUSSIN SYRUP ""WILSON""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第018965號,嗽治優糖漿,"SOU CHIH YU SYRUP""S.H.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第029610號,感冒能顆粒,COLDENIN GRANULES,內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第029756號,佳生感冒糖漿,"ANTICOLD SYRUP ""C.S.""",糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第037589號,麥克感冒膠囊,MIKE ANTICOLD CAPSULES,膠囊劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥輸字第028368號,益他培南凍晶注射劑1公克,Ertapenem Fresenius Kabi 1g lyophilized powder for concentrate for solution for infusion,凍晶注射劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第050126號,“信東”絡柔奎膜衣錠 75 毫克,Clogrel Film Coated Tablets 75mg (Clopidogrel),膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第018984號,萊特黴素注射劑５００公絲,RATTAPEN INJECTION,注射劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛部菌疫輸字第001126號,輔流威適流感疫苗,FLUCELVAX QUAD,懸浮注射劑,TTS,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第038015號,麥克嗽錠３０公絲（咳貝坦）,"MAKASA TABLETS 30MG ""KINK"" (CARBETAPENTANE)",錠劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第055026號,固宜通膜衣錠 75 毫克,Clopidogrel F.C. Tablets 75 mg“C.Y.H.”,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第055044號,“榮民”栓除膜衣錠 75 毫克,Platout Film Coated Tablets 75mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署菌疫輸字第000836號,艾非特基因工程第八凝血因子製劑 500國際單位,Advate 500 IU Powder And Solvent For Injection,凍晶注射劑,貼布,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第013360號,咳貝坦膠囊３０公絲,"CARBETAPENTANE CAPSULES 30MG ""S.T.""",膠囊劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第057140號,"""優生""栓化膜衣錠75毫克","Clofree F.C. Tablets 75mg ""Yu Sheng""",膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署菌疫輸字第000837號,艾非特基因工程第八凝血因子製劑250國際單位,Advate 250 IU Powder And Solvent For Injection,凍晶注射劑,貼布,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第039894號,"""瑞安"" 增骨密注射液５０國際單位/毫升（鮭魚抑鈣激素）","CALCININ INJECTION 50I.U./ML (SALMON CALCITONIN) ""PURZER""",注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥製字第059078號,"""松瑞""厄他培南注射劑1公克","Ertapenem for injection ""SLC"" 1g",凍晶乾粉注射劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第040512號,鎮嗽糖漿,TUSSIN SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第023459號,應治凝注射液2公絲/公撮,INTEGRILIN INJECTION 2MG/ML,注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第024082號,小兒熱之80綜合感冒顆粒,Children's Aceta 80 Cold & Flu Granules,內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第024093號,小兒咳熱散,"CHILDREN K'O LO SAN ""T.T.""",散劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第007628號,咳服比當錠,COFBETAN TABLETS,錠劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第026446號,傷風安治寧顆粒,ANCHININ COLD GRANULES,內服顆粒劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第048649號,"""生達"" 適風妥膜衣錠75毫克","Cloflow F.C. tablets 75mg ""Standard"" (Clopidogrel)",膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第048730號,健克栓膜衣錠 75 毫克,Thrombifree F.C. Tablets 75 mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥製字第062346號,”松瑞” 厄他可乾粉注射劑1公克,Ertacure “SLC” Injection 1g,凍晶乾粉注射劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第007997號,潔喉治咳膠囊,"CARBETANE CAPSULES ""M.S.""",膠囊劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第036728號,"""聯邦"" 風引液","FONING SOLUTION ""UNION""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第042727號,診嗽糖漿,JUNSO SYRUP,糖漿劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第010059號,敷康軟膏,"FOO-FORT OINTMENT ""GED""",軟膏劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第050241號,克免栓膜衣錠75毫克,Clotinil F.C. Tablets 75mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第021398號,優利爽乳膏　〝久保〞,"URESON CREAM ""CHIUPO""",乳膏劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第031077號,感風錠,KANFON TABLETS,錠劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第056629號,樂脂妥長效緩釋膜衣錠80毫克,Lecitol XL Film-coated Tablets 80mg,緩釋膜衣錠,穿皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第041575號,治咳安液,"ZCON SOLUTION ""H.S.""",內服液劑,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
