indication_id,indication_standard,source_terms,notes
IND0001,神經痛,神經痛,由官方適應症原文拆解，未建立疾病大類
IND0002,關節炎,關節炎,由官方適應症原文拆解，未建立疾病大類
IND0003,肩膀酸痛,肩膀酸痛,由官方適應症原文拆解，未建立疾病大類
IND0004,碰傷,碰傷,由官方適應症原文拆解，未建立疾病大類
IND0005,腰傷,腰傷,由官方適應症原文拆解，未建立疾病大類
IND0006,頭痛,頭痛,由官方適應症原文拆解，未建立疾病大類
IND0007,牙痛,牙痛,由官方適應症原文拆解，未建立疾病大類
IND0008,扁桃腺炎,扁桃腺炎,由官方適應症原文拆解，未建立疾病大類
IND0009,乳腺炎,乳腺炎,由官方適應症原文拆解，未建立疾病大類
IND0010,筋骨疲勞等炎症,筋骨疲勞等炎症,由官方適應症原文拆解，未建立疾病大類
IND0011,腰酸背痛,腰酸背痛,由官方適應症原文拆解，未建立疾病大類
IND0012,肌肉痛,肌肉痛,由官方適應症原文拆解，未建立疾病大類
IND0013,肌肉疲勞,肌肉疲勞,由官方適應症原文拆解，未建立疾病大類
IND0014,拗傷,拗傷,由官方適應症原文拆解，未建立疾病大類
IND0015,扭傷,扭傷,由官方適應症原文拆解，未建立疾病大類
IND0016,雞眼,雞眼,由官方適應症原文拆解，未建立疾病大類
IND0017,疣贅,疣贅,由官方適應症原文拆解，未建立疾病大類
IND0018,胼胝,胼胝,由官方適應症原文拆解，未建立疾病大類
IND0019,角質剝離劑,角質剝離劑,由官方適應症原文拆解，未建立疾病大類
IND0020,紅腫疼痛,紅腫疼痛,由官方適應症原文拆解，未建立疾病大類
IND0021,退腫,退腫,由官方適應症原文拆解，未建立疾病大類
IND0022,新舊創傷,新舊創傷,由官方適應症原文拆解，未建立疾病大類
IND0023,化膿消腫,化膿消腫,由官方適應症原文拆解，未建立疾病大類
IND0024,神經抽痛,神經抽痛,由官方適應症原文拆解，未建立疾病大類
IND0025,腰骨痠痛,腰骨痠痛,由官方適應症原文拆解，未建立疾病大類
IND0026,關節痛,關節痛,由官方適應症原文拆解，未建立疾病大類
IND0027,腰痛,腰痛,由官方適應症原文拆解，未建立疾病大類
IND0028,筋骨疲勞,筋骨疲勞,由官方適應症原文拆解，未建立疾病大類
IND0029,筋肉痛,筋肉痛,由官方適應症原文拆解，未建立疾病大類
IND0030,風濕痛,風濕痛,由官方適應症原文拆解，未建立疾病大類
IND0031,挫傷,挫傷,由官方適應症原文拆解，未建立疾病大類
IND0032,風濕關節痛,風濕關節痛,由官方適應症原文拆解，未建立疾病大類
IND0033,腫脹,腫脹,由官方適應症原文拆解，未建立疾病大類
IND0034,肩膀痠痛,肩膀痠痛,由官方適應症原文拆解，未建立疾病大類
IND0035,打傷消腫,打傷消腫,由官方適應症原文拆解，未建立疾病大類
IND0036,肩胛酸痛,肩胛酸痛,由官方適應症原文拆解，未建立疾病大類
IND0037,運動後之肌肉疼痛及關節痛,運動後之肌肉疼痛及關節痛,由官方適應症原文拆解，未建立疾病大類
IND0038,肩痛,肩痛,由官方適應症原文拆解，未建立疾病大類
IND0039,風濕關節炎,風濕關節炎,由官方適應症原文拆解，未建立疾病大類
IND0040,筋肉痛之消炎,筋肉痛之消炎,由官方適應症原文拆解，未建立疾病大類
IND0041,濕疹,濕疹,由官方適應症原文拆解，未建立疾病大類
IND0042,汗疹,汗疹,由官方適應症原文拆解，未建立疾病大類
IND0043,潰瘍,潰瘍,由官方適應症原文拆解，未建立疾病大類
IND0044,火傷,火傷,由官方適應症原文拆解，未建立疾病大類
IND0045,燙傷,燙傷,由官方適應症原文拆解，未建立疾病大類
IND0046,皮膚焱等傷患局部之殺菌消毒及消炎,皮膚焱等傷患局部之殺菌消毒及消炎,由官方適應症原文拆解，未建立疾病大類
IND0047,關節痛之消炎,關節痛之消炎,由官方適應症原文拆解，未建立疾病大類
IND0048,腫痛之緩解,腫痛之緩解,由官方適應症原文拆解，未建立疾病大類
IND0049,肩膀痛,肩膀痛,由官方適應症原文拆解，未建立疾病大類
IND0050,腰酸背痛之消炎,腰酸背痛之消炎,由官方適應症原文拆解，未建立疾病大類
IND0051,風濕,風濕,由官方適應症原文拆解，未建立疾病大類
IND0052,關節痛等症之消炎,關節痛等症之消炎,由官方適應症原文拆解，未建立疾病大類
IND0053,打撲,打撲,由官方適應症原文拆解，未建立疾病大類
IND0054,捻挫,捻挫,由官方適應症原文拆解，未建立疾病大類
IND0055,骨折,骨折,由官方適應症原文拆解，未建立疾病大類
IND0056,神精痛,神精痛,由官方適應症原文拆解，未建立疾病大類
IND0057,僂麻質斯,僂麻質斯,由官方適應症原文拆解，未建立疾病大類
IND0058,肌肉痛之消炎鎮痛,肌肉痛之消炎鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0059,打撲痛,打撲痛,由官方適應症原文拆解，未建立疾病大類
IND0060,打撲捻挫,打撲捻挫,由官方適應症原文拆解，未建立疾病大類
IND0061,創傷面之消毒,創傷面之消毒,由官方適應症原文拆解，未建立疾病大類
IND0062,殺菌,殺菌,由官方適應症原文拆解，未建立疾病大類
IND0063,打撲傷,打撲傷,由官方適應症原文拆解，未建立疾病大類
IND0064,齒痛,齒痛,由官方適應症原文拆解，未建立疾病大類
IND0065,關節痛之消炎鎮痛,關節痛之消炎鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0066,關節風濕痛,關節風濕痛,由官方適應症原文拆解，未建立疾病大類
IND0067,肩關節周圍炎,肩關節周圍炎,由官方適應症原文拆解，未建立疾病大類
IND0068,關節炎腫脹等症狀的消炎鎮痛,關節炎腫脹等症狀的消炎鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0069,扭挫傷,扭挫傷,由官方適應症原文拆解，未建立疾病大類
IND0070,關節炎之消炎,關節炎之消炎,由官方適應症原文拆解，未建立疾病大類
IND0071,頭暈目眩,頭暈目眩,由官方適應症原文拆解，未建立疾病大類
IND0072,腰骨酸痛,腰骨酸痛,由官方適應症原文拆解，未建立疾病大類
IND0073,神經骨痛,神經骨痛,由官方適應症原文拆解，未建立疾病大類
IND0074,牙痛耳痛,牙痛耳痛,由官方適應症原文拆解，未建立疾病大類
IND0075,周邊癢痛,周邊癢痛,由官方適應症原文拆解，未建立疾病大類
IND0076,手足腫痛,手足腫痛,由官方適應症原文拆解，未建立疾病大類
IND0077,湯火刀傷,湯火刀傷,由官方適應症原文拆解，未建立疾病大類
IND0078,蚊蟲咬傷,蚊蟲咬傷,由官方適應症原文拆解，未建立疾病大類
IND0079,筋肉疲勞,筋肉疲勞,由官方適應症原文拆解，未建立疾病大類
IND0080,風濕性關節炎,風濕性關節炎,由官方適應症原文拆解，未建立疾病大類
IND0081,斯替耳氏病,斯替耳氏病,由官方適應症原文拆解，未建立疾病大類
IND0082,風濕性心炎與肌炎,風濕性心炎與肌炎,由官方適應症原文拆解，未建立疾病大類
IND0083,恥骨炎,恥骨炎,由官方適應症原文拆解，未建立疾病大類
IND0084,骨關節炎,骨關節炎,由官方適應症原文拆解，未建立疾病大類
IND0085,神經炎,神經炎,由官方適應症原文拆解，未建立疾病大類
IND0086,滑液囊炎,滑液囊炎,由官方適應症原文拆解，未建立疾病大類
IND0087,重症支氣管氣喘,重症支氣管氣喘,由官方適應症原文拆解，未建立疾病大類
IND0088,藥物及食物過敏,藥物及食物過敏,由官方適應症原文拆解，未建立疾病大類
IND0089,急性淋巴性白血病,急性淋巴性白血病,由官方適應症原文拆解，未建立疾病大類
IND0090,中毒性皮膚炎,中毒性皮膚炎,由官方適應症原文拆解，未建立疾病大類
IND0091,原發性副腎皮質機能不全,原發性副腎皮質機能不全,由官方適應症原文拆解，未建立疾病大類
IND0092,腰痠背痛,腰痠背痛,由官方適應症原文拆解，未建立疾病大類
IND0093,坐骨神經痛,坐骨神經痛,由官方適應症原文拆解，未建立疾病大類
IND0094,胸膛及腳部痛,胸膛及腳部痛,由官方適應症原文拆解，未建立疾病大類
IND0095,主治神精痛,主治神精痛,由官方適應症原文拆解，未建立疾病大類
IND0096,筋骨痛,筋骨痛,由官方適應症原文拆解，未建立疾病大類
IND0097,風濕痛．,風濕痛．,由官方適應症原文拆解，未建立疾病大類
IND0098,暫時緩解局部疼痛．,暫時緩解局部疼痛．,由官方適應症原文拆解，未建立疾病大類
IND0099,（筋肉痛,（筋肉痛,由官方適應症原文拆解，未建立疾病大類
IND0100,坐骨神精痛,坐骨神精痛,由官方適應症原文拆解，未建立疾病大類
IND0101,關節痛）,關節痛）,由官方適應症原文拆解，未建立疾病大類
IND0102,肩膀痛等疾患之消炎,肩膀痛等疾患之消炎,由官方適應症原文拆解，未建立疾病大類
IND0103,肌肉酸痛,肌肉酸痛,由官方適應症原文拆解，未建立疾病大類
IND0104,暫時緩解局部疼痛,暫時緩解局部疼痛,由官方適應症原文拆解，未建立疾病大類
IND0105,背痛,背痛,由官方適應症原文拆解，未建立疾病大類
IND0106,關節痛等疾患之消炎,關節痛等疾患之消炎,由官方適應症原文拆解，未建立疾病大類
IND0107,（神經痛,（神經痛,由官方適應症原文拆解，未建立疾病大類
IND0108,肌肉痛）,肌肉痛）,由官方適應症原文拆解，未建立疾病大類
IND0109,（關節痛,（關節痛,由官方適應症原文拆解，未建立疾病大類
IND0110,腰痛背痛,腰痛背痛,由官方適應症原文拆解，未建立疾病大類
IND0111,骨折痛,骨折痛,由官方適應症原文拆解，未建立疾病大類
IND0112,口腔黏膜潰瘍之緩解,口腔黏膜潰瘍之緩解,由官方適應症原文拆解，未建立疾病大類
IND0113,肩傷,肩傷,由官方適應症原文拆解，未建立疾病大類
IND0114,凍傷,凍傷,由官方適應症原文拆解，未建立疾病大類
IND0115,腰痛肩痛,腰痛肩痛,由官方適應症原文拆解，未建立疾病大類
IND0116,僂麻質斯痛,僂麻質斯痛,由官方適應症原文拆解，未建立疾病大類
IND0117,打傷,打傷,由官方適應症原文拆解，未建立疾病大類
IND0118,挫傷及腰痠背痛,挫傷及腰痠背痛,由官方適應症原文拆解，未建立疾病大類
IND0119,運動或身體勞動後所引起的肌肉疲勞,運動或身體勞動後所引起的肌肉疲勞,由官方適應症原文拆解，未建立疾病大類
IND0120,變形性關節炎,變形性關節炎,由官方適應症原文拆解，未建立疾病大類
IND0121,肌腱腱鞘炎,肌腱腱鞘炎,由官方適應症原文拆解，未建立疾病大類
IND0122,腱周圍炎,腱周圍炎,由官方適應症原文拆解，未建立疾病大類
IND0123,上腕骨上 顆炎,上腕骨上 顆炎,由官方適應症原文拆解，未建立疾病大類
IND0124,外傷之腫脹疼痛等上述疾患及症狀之鎮痛消炎,外傷之腫脹疼痛等上述疾患及症狀之鎮痛消炎,由官方適應症原文拆解，未建立疾病大類
IND0125,上腕骨上顆炎,上腕骨上顆炎,由官方適應症原文拆解，未建立疾病大類
IND0126,外傷後之腫脹,外傷後之腫脹,由官方適應症原文拆解，未建立疾病大類
IND0127,疼痛等上述疾患及症狀之鎮痛,疼痛等上述疾患及症狀之鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0128,變形性關節症,變形性關節症,由官方適應症原文拆解，未建立疾病大類
IND0129,腱鞘炎,腱鞘炎,由官方適應症原文拆解，未建立疾病大類
IND0130,上腕骨關節炎,上腕骨關節炎,由官方適應症原文拆解，未建立疾病大類
IND0131,疼痛症狀的鎮痛,疼痛症狀的鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0132,（變形關節症,（變形關節症,由官方適應症原文拆解，未建立疾病大類
IND0133,上腕骨上髁炎,上腕骨上髁炎,由官方適應症原文拆解，未建立疾病大類
IND0134,痛病）,痛病）,由官方適應症原文拆解，未建立疾病大類
IND0135,幫助戒菸,幫助戒菸,由官方適應症原文拆解，未建立疾病大類
IND0136,疼痛等諸症狀的鎮痛,疼痛等諸症狀的鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0137,外傷之腫脤疼痛等上述疾患及症狀之鎮痛消炎,外傷之腫脤疼痛等上述疾患及症狀之鎮痛消炎,由官方適應症原文拆解，未建立疾病大類
IND0138,凍傷骨折痛,凍傷骨折痛,由官方適應症原文拆解，未建立疾病大類
IND0139,腰痛等症狀,腰痛等症狀,由官方適應症原文拆解，未建立疾病大類
IND0140,自然或手術引起之停經症候群,自然或手術引起之停經症候群,由官方適應症原文拆解，未建立疾病大類
IND0141,停經後骨質疏鬆症之防治,停經後骨質疏鬆症之防治,由官方適應症原文拆解，未建立疾病大類
IND0142,治療疣,治療疣,由官方適應症原文拆解，未建立疾病大類
IND0143,撞傷,撞傷,由官方適應症原文拆解，未建立疾病大類
IND0144,骨關節炎（關節痛,骨關節炎（關節痛,由官方適應症原文拆解，未建立疾病大類
IND0145,退化性關節痛）,退化性關節痛）,由官方適應症原文拆解，未建立疾病大類
IND0146,外傷後或肌腱炎,外傷後或肌腱炎,由官方適應症原文拆解，未建立疾病大類
IND0147,關節周圍炎,關節周圍炎,由官方適應症原文拆解，未建立疾病大類
IND0148,拉傷和下背疼痛等急性肌肉骨骼損傷,拉傷和下背疼痛等急性肌肉骨骼損傷,由官方適應症原文拆解，未建立疾病大類
IND0149,短期使用以緩解因發炎反應引起之局部疼痛,短期使用以緩解因發炎反應引起之局部疼痛,由官方適應症原文拆解，未建立疾病大類
IND0150,治療疣。,治療疣。,由官方適應症原文拆解，未建立疾病大類
IND0151,預防或緩解動暈症(暈車,預防或緩解動暈症(暈車,由官方適應症原文拆解，未建立疾病大類
IND0152,暈船,暈船,由官方適應症原文拆解，未建立疾病大類
IND0153,暈機)引起之頭暈,暈機)引起之頭暈,由官方適應症原文拆解，未建立疾病大類
IND0154,噁心,噁心,由官方適應症原文拆解，未建立疾病大類
IND0155,嘔吐,嘔吐,由官方適應症原文拆解，未建立疾病大類
IND0156,頭痛等症狀,頭痛等症狀,由官方適應症原文拆解，未建立疾病大類
IND0157,肌腱,肌腱,由官方適應症原文拆解，未建立疾病大類
IND0158,外傷之腫脹,外傷之腫脹,由官方適應症原文拆解，未建立疾病大類
IND0159,疼痛等諸症狀之鎮痛,疼痛等諸症狀之鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0160,坐骨神經痛之緩解,坐骨神經痛之緩解,由官方適應症原文拆解，未建立疾病大類
IND0161,肌肉痠痛,肌肉痠痛,由官方適應症原文拆解，未建立疾病大類
IND0162,跌打損傷,跌打損傷,由官方適應症原文拆解，未建立疾病大類
IND0163,上腕骨上踝炎,上腕骨上踝炎,由官方適應症原文拆解，未建立疾病大類
IND0164,外傷之腫脹疼痛等諸症狀之鎮痛,外傷之腫脹疼痛等諸症狀之鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0165,上脕骨上髁炎,上脕骨上髁炎,由官方適應症原文拆解，未建立疾病大類
IND0166,用於緩解皰疹後神經痛(Post-herpetic Neuralgia),用於緩解皰疹後神經痛(Post-herpetic Neuralgia),由官方適應症原文拆解，未建立疾病大類
IND0167,使用部位僅限於未受損的皮膚,使用部位僅限於未受損的皮膚,由官方適應症原文拆解，未建立疾病大類
IND0168,筋肉傷,筋肉傷,由官方適應症原文拆解，未建立疾病大類
IND0169,需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛,需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛,由官方適應症原文拆解，未建立疾病大類
IND0170,假牙安定劑,假牙安定劑,由官方適應症原文拆解，未建立疾病大類
IND0171,預防及治療冠狀動脈疾病引起之狹心症發作,預防及治療冠狀動脈疾病引起之狹心症發作,由官方適應症原文拆解，未建立疾病大類
IND0172,預防或治療冠狀動脈疾病引起之狹心症,預防或治療冠狀動脈疾病引起之狹心症,由官方適應症原文拆解，未建立疾病大類
IND0173,預防或治療冠狀動脈疾病引起久狹心症,預防或治療冠狀動脈疾病引起久狹心症,由官方適應症原文拆解，未建立疾病大類
IND0174,預防暈動病引起之眩暈,預防暈動病引起之眩暈,由官方適應症原文拆解，未建立疾病大類
IND0175,接觸性或皮脂溢出性皮膚炎,接觸性或皮脂溢出性皮膚炎,由官方適應症原文拆解，未建立疾病大類
IND0176,剝落性皮膚炎,剝落性皮膚炎,由官方適應症原文拆解，未建立疾病大類
IND0177,牛皮癬,牛皮癬,由官方適應症原文拆解，未建立疾病大類
IND0178,皮膚搔癢症,皮膚搔癢症,由官方適應症原文拆解，未建立疾病大類
IND0179,預防及治療冠狀和動脈疾病引起之狹心症發作,預防及治療冠狀和動脈疾病引起之狹心症發作,由官方適應症原文拆解，未建立疾病大類
IND0180,預防狹心症之發作,預防狹心症之發作,由官方適應症原文拆解，未建立疾病大類
IND0181,口腔粘膜潰瘍之緩解,口腔粘膜潰瘍之緩解,由官方適應症原文拆解，未建立疾病大類
IND0182,筋肉痠痛,筋肉痠痛,由官方適應症原文拆解，未建立疾病大類
IND0183,肩膀酸痛之鎮痛,肩膀酸痛之鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0184,：變形性關節炎,：變形性關節炎,由官方適應症原文拆解，未建立疾病大類
IND0185,疼痛,疼痛,由官方適應症原文拆解，未建立疾病大類
IND0186,節痛,節痛,由官方適應症原文拆解，未建立疾病大類
IND0187,幫助戒煙,幫助戒煙,由官方適應症原文拆解，未建立疾病大類
IND0188,預防及治療冠狀動脈疾病引起之狹心症,預防及治療冠狀動脈疾病引起之狹心症,由官方適應症原文拆解，未建立疾病大類
IND0189,肌肉波榮,肌肉波榮,由官方適應症原文拆解，未建立疾病大類
IND0190,外傷後之腫脹疼痛,外傷後之腫脹疼痛,由官方適應症原文拆解，未建立疾病大類
IND0191,需要使用鴉片類製劑控制的慢性疼痛,需要使用鴉片類製劑控制的慢性疼痛,由官方適應症原文拆解，未建立疾病大類
IND0192,自然停經或手術後引起之停經症候群,自然停經或手術後引起之停經症候群,由官方適應症原文拆解，未建立疾病大類
IND0193,預防停經後的骨質疏鬆症,預防停經後的骨質疏鬆症,由官方適應症原文拆解，未建立疾病大類
IND0194,短期使用於控制手術後疼痛,短期使用於控制手術後疼痛,由官方適應症原文拆解，未建立疾病大類
IND0195,女性避孕用,女性避孕用,由官方適應症原文拆解，未建立疾病大類
IND0196,腱？腱鞘炎,腱？腱鞘炎,由官方適應症原文拆解，未建立疾病大類
IND0197,外傷後之腫脹？疼痛等諸症狀的鎮痛,外傷後之腫脹？疼痛等諸症狀的鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0198,戒菸輔助劑,戒菸輔助劑,由官方適應症原文拆解，未建立疾病大類
IND0199,切傷,切傷,由官方適應症原文拆解，未建立疾病大類
IND0200,擦傷,擦傷,由官方適應症原文拆解，未建立疾病大類
IND0201,抓傷,抓傷,由官方適應症原文拆解，未建立疾病大類
IND0202,創傷傷口之消毒保護,創傷傷口之消毒保護,由官方適應症原文拆解，未建立疾病大類
IND0203,蚊蟲叮咬,蚊蟲叮咬,由官方適應症原文拆解，未建立疾病大類
IND0204,搔癢,搔癢,由官方適應症原文拆解，未建立疾病大類
IND0205,原發性帕金森氏症,原發性帕金森氏症,由官方適應症原文拆解，未建立疾病大類
IND0206,需要使用類鴉片製劑控制的慢性疼痛和頑固疼痛,需要使用類鴉片製劑控制的慢性疼痛和頑固疼痛,由官方適應症原文拆解，未建立疾病大類
IND0207,適用於緩解以下情況所產生的疼痛：頸部僵硬,適用於緩解以下情況所產生的疼痛：頸部僵硬,由官方適應症原文拆解，未建立疾病大類
IND0208,拉傷,拉傷,由官方適應症原文拆解，未建立疾病大類
IND0209,瘀傷,瘀傷,由官方適應症原文拆解，未建立疾病大類
IND0210,輕度至中度阿滋海默氏病之失智症,輕度至中度阿滋海默氏病之失智症,由官方適應症原文拆解，未建立疾病大類
IND0211,腱‧腱鞘炎,腱‧腱鞘炎,由官方適應症原文拆解，未建立疾病大類
IND0212,外傷後之腫脹‧疼痛等諸症狀的鎮痛,外傷後之腫脹‧疼痛等諸症狀的鎮痛,由官方適應症原文拆解，未建立疾病大類
IND0213,預防連續5天使用中度及/或高度致吐性化學療法療程的病人所引起的噁心及嘔吐,預防連續5天使用中度及/或高度致吐性化學療法療程的病人所引起的噁心及嘔吐,由官方適應症原文拆解，未建立疾病大類
IND0214,頸部僵硬,頸部僵硬,由官方適應症原文拆解，未建立疾病大類
IND0215,扭傷之疼痛緩解,扭傷之疼痛緩解,由官方適應症原文拆解，未建立疾病大類
IND0216,用於緩解皰疹神經痛(post-herpetic Neuralgia),用於緩解皰疹神經痛(post-herpetic Neuralgia),由官方適應症原文拆解，未建立疾病大類
IND0217,在長期需要類鴉片藥物之止痛效果時,在長期需要類鴉片藥物之止痛效果時,由官方適應症原文拆解，未建立疾病大類
IND0218,用於中度非癌症疼痛的治療,用於中度非癌症疼痛的治療,由官方適應症原文拆解，未建立疾病大類
IND0219,舒免疼不適用於治療急性疼痛,舒免疼不適用於治療急性疼痛,由官方適應症原文拆解，未建立疾病大類
IND0220,說明：本品療效主要建立在已使用過類鴉片止痛藥物病患或已對本藥品可耐受且有止痛反應之病患所進行之臨床試驗,說明：本品療效主要建立在已使用過類鴉片止痛藥物病患或已對本藥品可耐受且有止痛反應之病患所進行之臨床試驗,由官方適應症原文拆解，未建立疾病大類
IND0221,需要長期全天性使用類鴉片鎮痛劑之中度至重度癌症疼痛,需要長期全天性使用類鴉片鎮痛劑之中度至重度癌症疼痛,由官方適應症原文拆解，未建立疾病大類
IND0222,以及對非類鴉片鎮痛劑無效之重度疼痛,以及對非類鴉片鎮痛劑無效之重度疼痛,由官方適應症原文拆解，未建立疾病大類
IND0223,說明：僅限使用於曾經使用過類鴉片藥物的患者,說明：僅限使用於曾經使用過類鴉片藥物的患者,由官方適應症原文拆解，未建立疾病大類
IND0224,膀胱過動症,膀胱過動症,由官方適應症原文拆解，未建立疾病大類
IND0225,阿滋海默症,阿滋海默症,由官方適應症原文拆解，未建立疾病大類
